,artist,song_name,song_id,release_date,release_date_precision,popularity
212,SEVENTEEN,HOT,6I2tqFhk8tq69iursYxuxd,2022-05-27,day,77
213,ONE OK ROCK,Wherever you are,0YAMQSmHk6BSUGTYpaoqTJ,2010-06-09,day,66
214,ONE OK ROCK,Make It Out Alive,4WVJeRP6hjMMBkmWsV4TtF,2023-08-24,day,69
215,ONE OK ROCK,Stand Out Fit In,4zXRMjTaeflesB3Ih4eHnJ,2019-02-15,day,65
216,HIRAIDAI,"Stand by me, Stand by you.",7DyS11kB1YNrfDzQqtjmTh,2021-02-10,day,67
217,HIRAIDAI,Buddy,1GlT0DZKjapYwJzRcdBh4F,2022-05-09,day,62
218,HIRAIDAI,題名のない今日,6skNbV22epX2yHu4O2hYSx,2021-02-10,day,63
219,SOUTHERN ALL STARS,Relay~Mori no Uta,2flCpqsq9WAwFTjrtWtYBc,2023-09-18,day,30
220,SOUTHERN ALL STARS,Bongiri koiuta,0POtzhZLoUX2bsFatFD4rD,2023-07-17,day,29
221,SOUTHERN ALL STARS,Utae Nippon no Sora,1gDOmbdOhMADkmNSU9eUMb,2023-08-02,day,23
222,Mr.Children,HANABI,0AU7xhipAm9Saq0k8A9Iua,2008-12-10,day,65
223,Mr.Children,Tomorrow never knows,2CbDcSVFCbMSfLMoZiAFYN,1994-11-10,day,64
224,Mr.Children,名もなき詩,60ba7YZ3yqbCDGAkPNXzBh,1996-06-24,day,62
225,SEKAI NO OWARI,最高到達点,2hXPmiqKdXcbV0L1VKnTDN,2023-09-17,day,78
226,SEKAI NO OWARI,Habit,2uMNMcjjUz8oNIxjIu20qE,2022-04-28,day,69
227,SEKAI NO OWARI,Dragon Night,4XdzCpY4Ekv5SezuuFpBDG,2015-01-14,day,67
228,Tani Yuuki,W / X / Y,3cBghvTcQNDNkW98Y4eGaP,2021-12-08,day,58
229,Tani Yuuki,Mouichido,40gt89icqkSFqWWfMlqagb,2022-09-21,day,46
230,Tani Yuuki,Okaeri,0aLfQ35218wQrfCwNr0woA,2021-12-08,day,36
231,ARASHI,Love So Sweet,0cdyZ4VMs900wQLHRIyy97,2007-07-11,day,42
232,ARASHI,Happiness,3MiKEHatYtQrE0QSCdVRF0,2008-04-23,day,37
233,ARASHI,One Love,7eYJMiwmWFwVMbx2G39GgC,2021-07-16,day,36
234,BE:FIRST,Mainstream,6twDMJoG8tzwL21LQ3EEtA,2023-09-13,day,72
235,BE:FIRST,Boom Boom Back,37xJCjdzJ17S1jCDz3GwsB,2023-02-13,day,71
236,BE:FIRST,Glorious,2P7T4KMNrQ7mLXERZHhWYE,2023-11-06,day,69
237,Hikaru Utada,First Love,39HrUxcvKF3jtLz7fUDWXc,1999-03-10,day,73
238,Hikaru Utada,One Last Kiss,6DaKMsQDmHMJbKYyU7AUFA,2022-01-19,day,62
239,Hikaru Utada,道,4nYtqZDscX8TLvR4p0ON1s,2016-09-28,day,67
240,Creep Hyp,栞,2Bsg6EfrmEx0x0eC8v4vuG,2018-09-26,day,63
241,Creep Hyp,He Is Mine,0bQcCm1gmBavM1NYBxPvbe,2010-09-08,day,38
242,Creep Hyp,キケンナアソビ,2XvtKqNuL8vCkekyzmb8OJ,2021-12-08,day,59
243,B'z,イチブトゼンブ,3IYcbagYZ9z1Svaw8B33Pd,2009-11-18,day,61
244,B'z,ultra soul,4zz5dSunCrg0pmNT4ZzBf5,2005-11-30,day,57
245,B'z,いつかのメリークリスマス,3Ro8jrbsWu0VSk1odLLYuo,1992-12-09,day,60
246,LE SSERAFIM,Perfect Night,74X2u8JMVooG2QbjRxXwR8,2023-10-27,day,91
247,LE SSERAFIM,ANTIFRAGILE,0bMoNdAnxNR0OuQbGDovrr,2023-05-01,day,80
248,LE SSERAFIM,UNFORGIVEN (feat. Nile Rodgers),51vRumtqbkNW9wrKfESwfu,2023-05-01,day,82
249,Aimer,残響散歌,2cErTn7DU75ZILisPP34TB,2023-07-26,day,67
